crate_id,downloads
1612932,0
1612104,94
573761,260981
1610993,119
1611115,109
1611409,107
1610908,123
1611356,113
1611039,114
837404,19859
1610827,120
1610923,124
1610888,115
114070,11767
270504,24814
1019002,828
1610927,112
1611795,110
1592522,194
1592362,185
1596617,355
1610983,117
55849,14216
1600335,159
1610906,233
1612921,3
1612875,46
1612920,4
1612929,1
1084134,1321266
1589196,203
50054,1836
1585594,763
960422,29416
1599712,165
1611393,110
255545,5093
1612838,59
1612181,89
3410,3725
1611277,437
1610936,123
1612826,61
1612010,270
1610815,117
1610859,112
7108,19241
1018330,2706
1611878,103
1612863,48
1603063,1280
1612842,58
656905,553306
656896,554135
1611116,110
584783,70995
1610850,885
1014285,28316
1612908,11
1582142,428
1107418,43317
1572677,302
1560587,273
1612843,58
1496632,1537
444454,9391
623820,85476
1603830,158
1583025,434
133182,123488
1142539,3794
1225609,48349
1588308,203
1604922,153
1603315,163
319267,10837
1604728,452
430017,258606
1602064,151
1602062,153
1010621,45287
1601781,159
1594715,185
1601906,158
1475516,21744
1612923,3
1532406,2312
1612913,1
187328,1302
1095412,414564
1520440,2850
1571597,347
1603117,155
654241,563029
1604042,143
1612841,61
573686,31309
656941,551065
1612878,31
656932,550719
907346,284140
656841,561111
654265,569004
103016,4364951
654240,570395
654239,571211
1400628,105480
1379144,14571
656926,551614
654710,566847
1612885,27
987913,258306
782545,357627
280726,45730
944020,1148
1612827,60
1612871,44
1612897,33
1598803,165
360977,1844
1602211,149
1279834,1093
1598533,361
1605232,314
1472620,12185
1339027,61493
1603207,148
1594741,186
1605171,438
1547742,1096
1582762,1915
1612918,2
1612916,1
1040738,17322
773913,7825
416843,101482
654237,572640
94304,208103
1612847,60
105574,5623
331307,727666
1107841,24340
1612886,46
1612852,52
331342,736460
1587140,200
766673,1085
656856,555586
798548,1178135
1612894,94
1478691,434
1573310,2725
45811,1879
1532503,569
265470,1217
1612849,60
766452,13226
1009992,27315
1057602,46148
54940,1454
1581111,633
1054316,43499
1607286,278
1612924,2
244454,2008
1387182,1025
1126476,1268
1046829,1021
1078976,1862
1600027,160
1597738,358
1590932,3192
1605855,287
1602540,153
1602747,157
1607672,265
634859,757856
744530,1383551
654238,571836
783477,201439
654256,570304
1612891,37
485663,961122
759158,39741
620394,43873
189929,32086
1060165,2665
212022,5509
7667,7047
294806,1265
649616,4045
8110,1886
538753,1991
1612170,90
1393689,10720
499586,1178
1609310,249
5663,247589
13129,2868295
612000,58908
401883,3784183
1567533,948
38623,66035
481781,70332
420340,30773
312425,9810
5711,4259
394357,103529
1294428,223757
1609934,120
1609122,137
932783,260102
858846,1667
819318,20409
1595330,360
917749,535627
960097,397423
1602380,146
1258267,32196
1510089,1948
1610543,132
1609815,122
1609808,120
891666,99945
1595741,231
71311,887149
1596055,234
161336,65723
1610485,121
1609349,257
797625,51398
1607154,266
1597604,182
523513,18917
1596910,187
75061,152588
1019022,48374
615043,24116
164967,17148
1040510,2004
819474,20661
359726,94930
108782,70084
607137,16270
1590260,235
1458148,9916
1003894,171607
225719,2452
1405913,7979
201828,32963
1598228,533
1591825,196
529024,1151
1141128,60581
67982,1529
1225876,316409
1359151,3369
1601439,325
373393,193963
1591828,188
1059682,17566
128695,130624
1249565,6228
1607199,287
207295,13967
647705,15328
1596083,165
727403,87311
1593586,448
1127434,84098
872482,6341
1504203,1276
1586041,426
1257226,13049
1591507,199
699658,12837
1595583,292
1600395,157
1593380,181
1591277,209
1597380,177
261671,29386
1457337,5174
1603071,153
270865,50720
1597129,175
1598733,339
363622,56345
1025394,62023
1142547,3310
8764,4055
1609589,121
1603242,166
1607402,134
1368200,2393
1541071,357
1594853,186
1010435,40940
1595584,272
470226,187972
1584621,3140
1516789,3572
1595897,179
1601789,163
1596158,179
555947,1157
696255,53763
1540727,5428
905769,17500
1592222,189
853714,1029
1597601,177
1591954,522
1597252,185
1503653,2106
1589630,197
1602253,452
1604306,164
1596129,178
1589962,197
1421828,918
1592074,202
1596595,185
1589836,196
1589704,196
1167847,34483
1570421,278
1162880,92523
1595600,270
1599865,165
1603243,156
1449359,1952
1598614,340
1589703,199
1208046,19714
1601864,161
1597349,176
1595895,187
1602550,183
531297,71707
1153748,13407
1595594,291
1594756,313
278641,34756
744527,454464
1600953,168
644474,45571
1584567,255
1606640,140
1514411,732
2775,9284937
1597523,177
1596583,211
1215147,4264
720027,501897
524718,239588
273943,7503
822701,33995
464568,82049
1596513,177
1610185,116
1603192,158
1592015,211
1604799,657
1607410,135
1256832,3539
150874,1357
1162719,93962
1598757,177
283063,74677
1588350,390
1611435,111
1593344,195
1604712,1305
1602015,1707
438302,21647
850199,17396
869338,15983
391551,21075
414510,160093
